COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
HENRY,1.00,570.0,457.0,0.00,103.0,68.00,0.00,3.00,1.00,0.00,47.00,28.00,0.00,33.00,25.00,1.00,5064.0,4830.0,1.00,3868.0,2288.0,17388.0
HOUSTON,0.00,92.00,92.00,0.00,11.00,15.00,0.00,2.00,0.00,1.00,18.00,23.00,0.00,25.00,13.00,0.00,3299.0,3329.0,0.00,1131.0,716.0,8767.0
IRWIN,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,211.0,224.0,0.00,57.00,29.00,524.0
JACKSON,2.00,77.00,75.00,0.00,5.00,7.00,0.00,0.00,0.00,0.00,12.00,12.00,0.00,4.00,2.00,1.00,2789.0,2810.0,0.00,84.00,65.00,5945.0
JASPER,0.00,2.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,3.00,0.00,665.0,615.0,0.00,169.0,101.0,1568.0
JEFF DAVIS,0.00,9.00,8.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,9.00,4.00,0.00,2.00,0.00,0.00,1099.0,1055.0,0.00,146.0,100.0,2434.0
JEFFERSON,1.00,44.00,27.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,883.0,827.0,0.00,1042.0,539.0,3371.0
JENKINS,0.00,18.00,18.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,478.0,457.0,0.00,350.0,176.0,1499.0
JOHNSON,0.00,9.00,10.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,797.0,773.0,0.00,455.0,254.0,2307.0
JONES,0.00,2.00,8.00,0.00,1.00,2.00,0.00,2.00,0.00,0.00,3.00,4.00,0.00,5.00,2.00,0.00,1798.0,1768.0,0.00,445.0,285.0,4325.0
